Ticker symbol
MMM
ABT
ABBV
ACN
ATVI
AYI
ADBE
AMD
AAP
AES
AET
AMG
AFL
A
APD
AKAM
ALK
ALB
ARE
ALXN
ALGN
ALLE
AGN
ADS
LNT
ALL
GOOGL
GOOG
MO
AMZN
AEE
AAL
AEP
AXP
AIG
AMT
AWK
AMP
ABC
AME
AMGN
APH
APC
ADI
ANDV
ANSS
ANTM
AON
AOS
APA
AIV
AAPL
AMAT
ADM
ARNC
AJG
AIZ
T
ADSK
ADP
AZO
AVB
AVY
BHGE
BLL
BAC
BK
BCR
BAX
BBT
BDX
BRK.B
BBY
BIIB
BLK
HRB
BA
BWA
BXP
BSX
BHF
BMY
AVGO
BF.B
CHRW
CA
COG
CPB
COF
CAH
CBOE
KMX
CCL
CAT
CBG
CBS
CELG
CNC
CNP
CTL
CERN
CF
SCHW
CHTR
CHK
CVX
CMG
CB
CHD
CI
XEC
CINF
CTAS
CSCO
C
CFG
CTXS
CLX
CME
CMS
COH
KO
CTSH
CL
CMCSA
CMA
CAG
CXO
COP
ED
STZ
COO
GLW
COST
COTY
CCI
CSRA
CSX
CMI
CVS
DHI
DHR
DRI
DVA
DE
DLPH
DAL
XRAY
DVN
DLR
DFS
DISCA
DISCK
DISH
DG
DLTR
D
DOV
DOW
DPS
DTE
DRE
DD
DUK
DXC
ETFC
EMN
ETN
EBAY
ECL
EIX
EW
EA
EMR
ETR
EVHC
EOG
EQT
EFX
EQIX
EQR
ESS
EL
ES
RE
EXC
EXPE
EXPD
ESRX
EXR
XOM
FFIV
FB
FAST
FRT
FDX
FIS
FITB
FE
FISV
FLIR
FLS
FLR
FMC
FL
F
FTV
FBHS
BEN
FCX
GPS
GRMN
IT
GD
GE
GGP
GIS
GM
GPC
GILD
GPN
GS
GT
GWW
HAL
HBI
HOG
HRS
HIG
HAS
HCA
HCP
HP
HSIC
HSY
HES
HPE
HLT
HOLX
HD
HON
HRL
HST
HPQ
HUM
HBAN
IDXX
INFO
ITW
ILMN
IR
INTC
ICE
IBM
INCY
IP
IPG
IFF
INTU
ISRG
IVZ
IRM
JEC
JBHT
SJM
JNJ
JCI
JPM
JNPR
KSU
K
KEY
KMB
KIM
KMI
KLAC
KSS
KHC
KR
LB
LLL
LH
LRCX
LEG
LEN
LVLT
LUK
LLY
LNC
LKQ
LMT
L
LOW
LYB
MTB
MAC
M
MRO
MPC
MAR
MMC
MLM
MAS
MA
MAT
MKC
MCD
MCK
MDT
MRK
MET
MTD
MGM
KORS
MCHP
MU
MSFT
MAA
MHK
TAP
MDLZ
MON
MNST
MCO
MS
MOS
MSI
MYL
NDAQ
NOV
NAVI
NTAP
NFLX
NWL
NFX
NEM
NWSA
NWS
NEE
NLSN
NKE
NI
NBL
JWN
NSC
NTRS
NOC
NRG
NUE
NVDA
ORLY
OXY
OMC
OKE
ORCL
PCAR
PKG
PH
PDCO
PAYX
PYPL
PNR
PBCT
PEP
PKI
PRGO
PFE
PCG
PM
PSX
PNW
PXD
PNC
RL
PPG
PPL
PX
PCLN
PFG
PG
PGR
PLD
PRU
PEG
PSA
PHM
PVH
QRVO
PWR
QCOM
DGX
RRC
RJF
RTN
O
RHT
REG
REGN
RF
RSG
RMD
RHI
ROK
COL
ROP
ROST
RCL
CRM
SCG
SLB
SNI
STX
SEE
SRE
SHW
SIG
SPG
SWKS
SLG
SNA
SO
LUV
SPGI
SWK
SPLS
SBUX
STT
SRCL
SYK
STI
SYMC
SYF
SNPS
SYY
TROW
TGT
TEL
FTI
TXN
TXT
TMO
TIF
TWX
TJX
TMK
TSS
TSCO
TDG
TRV
TRIP
FOXA
FOX
TSN
UDR
ULTA
USB
UA
UAA
UNP
UAL
UNH
UPS
URI
UTX
UHS
UNM
VFC
VLO
VAR
VTR
VRSN
VRSK
VZ
VRTX
VIAB
V
VNO
VMC
WMT
WBA
DIS
WM
WAT
WEC
WFC
HCN
WDC
WU
WRK
WY
WHR
WFM
WMB
WLTW
WYN
WYNN
XEL
XRX
XLNX
XL
XYL
YUM
ZBH
ZION
ZTS
AN

RIG
BBBY
MUR
MNK
RAI
YHOO
TDC
R
MJN
TGNA
DNB
SWN
URBN
FTR
FSLR
HAR
LLTC
ENDP
PBI
SE
STJ
OI
LM
DO
HOT
EMC
JCI
CPGX
GAS
TE
CVC

BXLT
CCE
ARG
TWC
SNDK
ADT
GME
THC
CAM
POM
ESV
GMCR
CNX
PCL
PCP
BRCM
CB
FOSL
ALTR
CMCSK
CSC
SIAL
GNW
HCBK
JOY



HSP
PLL
DTV
NE
FDO
KRFT
ATI
TEG
QEP
LO
WIN
AGN
DNR
NBR
AVP
CFN
PETM
SWY
COV
BMS
JBL
BTU
GHC
RDC

X
FRX
IGT
LSI
BEAM
SLM

CLF
WPX
LIFE
ANF
JDSU
TER
MOLX
JCP
NYX
DELL
AMD
SAIC
BMC
S
APOL
FHN
HNZ
DF
CVH
PCS
BIG
FII
TIE
RRD
CBE
SUN
ANR
LXK
DV
SHLD
GR
PGN
SLE
NVLS
MMI
EP
SVU
MHS
CEG
CPWR
TLAB
AKS
MWW
WFR
GAS
JNS

ITT
CEPH
NSM
MI
RSH
MEE

NOVL
GENZ
Q
MFE
AYE
KG
EK
ODP
NYT
SII
MIL
STR
XTO
BJS
RX
SGP
CBE
ABK
TRB
DJ
AV
SBR
SBL
GLK
QTRN
BS
OI
GRA
CCK


